gene_code,T_cac14,T_cac5,T_cac10,T_cac13,T_cac16,T_cac4,T_cac9,T_cac8,T_cac3,T_cac6,T_cac2,T_cac7,T_cac11,T_cac12,T_cac1
ENSG00000113448,1753.784289,341.1008268,968.15119,1448.0156,545.43056,460.60078,792.67452,1158.376517,407.6678,448.31564,2110.56666,1669.21217,649.4931,839.56591,1296.197647
ENSG00000103274,402.2216,169.63572,444.53536,341.8846,508.38336,285.8853,355.14139,323.93814,353.23334,247.5286,385.75333,425.44948,349.4868,455.1715,525.09919
ENSG00000119953,567.1338,105.92,632.8889,453.728,409.59834,256.40559,447.2391,651.9506,432.28756,215.51425,694.4317,560.86133,282.02493,532.0971,579.41947
ENSG00000196782,1524.7406,532.38454,855.3317,1252.4444,1668.0492,1027.5456,1555.2306,896.794,1240.4317,771.6388,976.6223,922.5534,525.64156,1760.7382,1408.6818
ENSG00000153132,65,4,12.00003902,15.00003152,694,7,46,16,8.999996,1,53,13,123,13,6
ENSG00000102145,8.5,4.000002,5,3,12.5,10.5,6.5,2.500003,7.999996,6,6.5,4,4.5,11.5,3.5
ENSG00000169609,106.76891,39.038095,139.60308,80.93026,70.31501085,76.67271,144.24509,107.12419,116.33564,32.04167,80.44029,132.15476,65.51433,91.2384,109.16517
ENSG00000119669,485.349,260.309,472.03,180.697,483.104,514.255,428.17,294.416,546.443,323,468.965,390.506,312.117,444.137,518.036
ENSG00000249459,40.3228,37.3307818,107.0602,111.3444,34.02844,76.3606989,93.69934,63.83759,79.1703,122.2123,139.3337,89.4434,56.58122,98.7721,62.077742
ENSG00000167858,0,1,0,0,0,0,0,0,1,0,6.999999,0,0,1,0
ENSG00000127666,977,679,741,335,799,1246,858,412,672,632,489,659,594,1086,712
ENSG00000231500,4298.291,1027.936,2542.936,3355.622,2993.304,2102.995,3428.479,3528.407,2977.437,2558.0727,4135.034,2870.337,1632.2818,2637.758,2294.811
ENSG00000113648,5513.0262,1420.23342,6037.3345,2547.93258,4029.02534,2967.50499,4690.5652,4378.3702,4594.66539,2414.2069,2422.3824,4107.97444,2618.90228,3116.16894,4689.4123
ENSG00000157999,284,74,251,196,330,167,182,216,231,116,204,181,189,186,259
ENSG00000111713,2,4,2,5,4,4,8,3,1,1,6,4,1,5,3
ENSG00000133466,157.631,24.83962,170.2794,40.34909,120.8727,84.04754,113.42916,59.65551,151.54046,83.2689,162.2197,47.54115,86.32162,69.5037,264.9982
ENSG00000112511,31.5107,9.40327,6.67121,28.4127,34.37967,10.2342,21.0208,47.51,49.4706,6.00723,46.8768,0,0,0,0
ENSG00000125676,7178.0134,1355.435501,8032.6878,4639.8848,6717.0979,5924.5093,5279.3244,7336.2383,7841.84048,5381.6507,5847.3758,5136.7463,3187.3882,5424.4717,8022.6881
ENSG00000075975,574.0001,241.0002,669,621,743.001,484,662,606.9995,525,238.9996294,756,644,334.0001,527.001,741
ENSG00000124789,5501,956,5551,3990,4393,3232.996,4880,5606,4588,2804.996,5484,4186,3187,4551,4333
ENSG00000168282,817,317,819,509,920,593,716,758,865,453,979,772,702,773,907
ENSG00000065183,1676.687,834.314,2721.849,1852.757,2085.594,1401.353,2474.012,2266.231,2139.821,906.262,2336.018,1053.394,986.791,1927.281,1911.535
ENSG00000139289,3093.2324,4143.9967,4839.9984,1187.9992,1138.99987,1697.8876,2298.9771,1967.7407,1536.2977,989.0003,2574.002,420,1287.99865,794.02893,9562.9871
ENSG00000165476,1279.518,213.143,1720.744,887.353,902.432,611.453,874.78,1130.472,1188.931,520.711,1830.959,963.307,612.687,1136.477,1676.83
ENSG00000114450,567.9997,73.00003,499.9997,200.00003,200.0001,338.9995,319.0004,664.0002,578.0004,166.0003,969.3227,567.4062,304.99971,480,829.4814
ENSG00000256591,19.3804,17.861,5.62435,0,0,18.7282,0,3.94164,20.2485,0,0,0,6.04244,16.9461,30.4633
ENSG00000108417,15.3602,1,28.842,0.5,31.6566,4.5,15.77,16.4146,4,3.5,1,0,0,0,8.91318
ENSG00000159147,431.9196,207.6051,710.339,269.4141,527.6509,329.8623,326.4068,453.0692,545.9442964,224.2598,419.3912,540.635,1101.2815,510.6597552,549.0273
ENSG00000172164,6805.38512,2911.4,1831.6,2082.8,1847.80809,2323,1736.65999,2982.86,758.296,1039.99531,1188.69599,403,1154.11,427,2853.67
ENSG00000114331,2067.4142,342.30027,2241.7432,2083.8322,2115.2423,1428.03447,1993.0111,2512.928,2706.234,1047.0456,2609.9888,1886.9407,1284.89614,1884.2979,2794.5061
ENSG00000268965,14.7197,2,22.5688,4.21288,12.4854,32.5519,15.5553,7.27396,15.5049,17,2.56505,10.6476,13,22.7591,26.1021
ENSG00000198954,770,258,958.396,470.339,517.036,520,517,767,669,380,952,733,713.358,980.229,884.257
ENSG00000134030,597.93397,233.6289,377.19073,214.70576,421.48892,489.13013,471.85739,517.19194,589.1738,241.39898,546.1137,276.73115,280.90809,441.3883,886.39191
ENSG00000166368,60,4,42,8,13,90,50,15,68,5,20,66,41,22,26
ENSG00000269657,12.0265,1,9.04401,12,14,11,13.1049,16.025,9.02283,7,9.01586,7.01106,9.09127,3.00708,11.038
ENSG00000111581,1617.69321,597.5616,2731.99,1547.31849,1545.273717,951.44805,1382.01727,1954.0501,1494.1449,937.93779,1908.62372,1637.0767,971.7946721,1488.20852,1990.23279
ENSG00000131652,549.863,255.0840417,466.2784,273.4462,763.816,557.829,469.281,254.8929,427.1963,364.189086,302.2211,469.285,345.0042,362.2240023,439.692
ENSG00000188778,9.91302,7.77358,3.85244,1,1.2765,3.88451,6.39586,8.55443,5.75429,2.00144,3.01589,5.03639,3.86619,11.9172,11.7277
ENSG00000143369,2421.173,768.7142,1639.7284,778.9963,698.826,855.6178,1143.4838,981.856,781.079,528.5529,1869.713,1094.1946,926.9698,798.0195,8061.667
ENSG00000100353,8028.94372,2588.158,6716.039,6268.2507,8722.4084,5093.21438,7773.19167,6467.752,6402.777,4222.786,4504.15216,7006.876,3372.5088,6344.10633,5806.9504
ENSG00000100395,437.6027,355.5095,343.4696,217.6626,571.2702,418.0479,301.8495,295.8811,491.8662,242.996,244.9882,553.6767,172.5554,366.4206,510.4148
ENSG00000123066,10315.9,3062.42491,10559.4947,8784.97561,9934.82741,7025.75687,8437.72405,9246.79743,10046.72694,5440.60869,10031.35315,7481.57445,5550.26366,10599.38134,10656.8
ENSG00000115808,3111.791,428.9101,2889.347,2105.436,3864.314,1742.569,2559.448,2620.577,3240.208,2045.645,2761.175,2320.95,1918.037,2423.349,3318.008
ENSG00000133731,868.162572,179.53007,499.94842,705.09112,375.18145,375.3686829,490.27306,521.73974,624.8311,488.49455,487.6991,623.00393,339.16817,687.62106,375.22495
ENSG00000220201,6.85804,11.25533,6.68232,17.97481,23.857,18.86749,19.01195,4.08684,6.13199,5,14.72012,14.6952,37.5834,6.06381,5.23865
ENSG00000130985,5871.0696,1847.37763,5998.81057,2602.3137,5584.9586,4775.776889,3467.33993,4696.872689,4250.36352,2811.55087,4564.8844,4175.777856,2281.1492,3868.7977,5110.88975
ENSG00000167889,1.529024,2.79147,1,5.52785,3,5.585264,1,3.45307,0,0.319988,7,0,12.36363011,7,3.45823
ENSG00000159409,33.64832,17.1774,6.52904,1,9.34255,1.68778,45.87675,13.6382,212.4251,24.72572,44.8495,6.83201,12.72889,22.42936,5.55512
ENSG00000197363,211.72463,98.2715,64.62080165,73.07203,113.27358,182.47197,149.3618,69.8899,169.4521593,131.8598,42.22456,54.91369,45.2874,131.1801,56.55662933
ENSG00000111605,3671.3108,1822.9327,4111.7562,2535.0184,3819.6274,2601.5078,3638.41594,3700.1992,3382.2496,1996.0745,3229.4488,2465.8324,2166.3515,3589.2026,4412.9433
ENSG00000165675,950.737,141,854.128,446.3144,683.0784,712.217,541.4987,1079.811,1025.653,466.796,835.6413,526.3694,357.5311,405.974,856.0127
ENSG00000102753,2588,224.0002,2239,676,1677,1193,1719,2282,1787,1096,2306,994.9995,796,1226.0014,2426.99585
ENSG00000119403,814.0373,310.32196,541.66962,286.0335134,777.071,321.06738,441.88764,429.2027,464.6099,171.49824,435.39316,489.81646,428.06159,292.4667,530.3239
ENSG00000261857,41.70901,8.5624,7,11.2524,8.19178,11.8094,20.3631,9.20111,10.17966,0.64579,12.6216,50,24.46765,55.7466,48.7554
ENSG00000088256,1142.127,528.626,1085.559,541.127,2260.316,1223.295,1139.562,950.048,864.346,713.412,1089.482,1586.432,542.577,1449.923,780.703
